time(ms) velocity(m/s)
4.32147	0.0199711
10.0679	0.0315119
15.1502	0.0398836
20.5745	0.0483152
23.9632	0.0538167
30.0853	0.0602753
36.2227	0.0644021
43.3926	0.0677519
47.8333	0.0694867
53.9895	0.0707435
60.4889	0.0718809
68.3601	0.0727195
74.8627	0.0733785
85.1335	0.0738589
96.0901	0.0742198
109.786	0.0745813
120.402	0.0746432
133.758	0.0747654
142.662	0.0747672
158.073	0.0747703
174.854	0.0747138
190.607	0.074717
204.648	0.0747198
219.718	0.0746032
241.293	0.0745477
256.021	0.0743713
267.665	0.074254
281.364	0.0742567
292.322	0.0743785
306.364	0.0742617
324.514	0.0742653
344.377	0.0743889
360.473	0.0743323
376.569	0.0743355
390.952	0.0743982
399.858	0.0741608
